rank,based,team,match,wpoint,win,draw,defeat,goal,loss,gol
울산,울산 현대 축구단,21,44,13,5,3,31,18,13
전북,전북 현대 모터스,21,39,11,6,4,26,17,9
포항,포항 스틸러스,21,36,10,6,5,30,18,12
제주,제주 유나이티드,21,33,9,6,6,27,26,1
인천,인천 유나이티드,21,30,7,9,5,25,22,3
수원,수원FC,21,28,8,4,9,31,32,-1
대구,대구FC,21,26,5,11,5,27,25,2
강원,강원FC,21,24,6,6,9,26,32,-6
서울,FC서울,21,23,5,8,8,25,26,-1
김천,김천 상무 프로축구단	,21,22,5,7,9,27,27,0
수원삼성,수원 삼성 블루윙즈,21,20,4,8,9,14,24,-10
성남,성남FC,21,12,2,6,13,16,38,-22
